notification_type,notification_no,notification_date,contract_acct,cause_code,meter_no,prediction,probability
ZQ,5d7953d7618f1ea3dd422cc2e007a518,2021-01-02,ea956c267ae039ce068a60265a84191f,Meter Stopped/Stuck,d5e3102bf72c46982873efe46eb1d03c,True,
ZQ,e076284f087efb78080ac5efcd6b5020,2021-01-02,1791661f1fbe7ab48b2c1b7c7f7dcd8e,Meter Stopped/Stuck,43fc37129bca04b59c59e73f339e4312,True,
ZQ,770fd5242acf8c4814a9b4aaca011baf,2021-01-02,d64a7962024c1aa4d35379fc8b20efdd,Low Consumption,4ce9fd8d536834d7f4050069d61d54aa,True,
ZQ,f807a840ff0771279c961d8ff6b912b5,2021-01-02,38140b1b7c79bdef04ab5740ed4d1f87,Meter Stopped/Stuck,8d9ed5e4a1ff8f1ca3b6dd7e8b095eda,False,
ZQ,c46b060d13114adeb7e780abd0677203,2021-01-02,52ec33538a61a268f545b8b5f627545a,Meter Stopped/Stuck,5121ed1b45d5b9fd70e31a3abcab94fd,True,
ZQ,1ae0cbf109a65060319a9f2b80a654a0,2021-01-02,60263e0d8863521cea6d6ddb038ec5c3,Meter Stopped/Stuck,83b51a6e8cb13f79419890eb1a9a1909,False,
ZQ,6134b8c1f68dc7aaf4d89569c9e0f76b,2021-01-02,ca4ff7c4f55ee0b08c1d5a3afdbe1317,Meter Stopped/Stuck,15a0f72122e298bc38e25cef422aae80,True,
ZQ,ecf9ad507fb8ae68d921b7ed843e8ebb,2021-01-02,709587f423cd9a2542b56a40270a96a2,Meter Stopped/Stuck,d8eaae5e10ae2bf2ab7b63b068de16f9,True,
ZQ,b0d2d9e204f085c7c4c7ef6ab7cb4f33,2021-01-02,23afbf9341e0a390126eee55f75705fd,Low Consumption,39d6adeeded1073ce28c447ae4be0b4f,False,
ZQ,14cb45aa5b4d905615e570bf5203609f,2021-01-02,91eecd13b518ebbbf58427c522626ce3,Low Consumption,b3200d36f449280bbd76941ffcca7059,True,
ZQ,d0e54167973189cdf7697887b47d90fc,2021-01-02,7c4bc3b9458eea42a8d6273d4e236252,Meter Stopped/Stuck,1730645882ce631e32af80758a44b27d,True,
ZQ,6caa0fd79c5e4cf974d474dffe75c93b,2021-01-02,c7da8e9e1c5f74e98dce33fe7db1111c,Meter Stopped/Stuck,c2c9650ce213567c7ab2e028c30d9d21,True,
